Movie;Month;Day;Release Year;Budget($M);Domestic Gross($M);Worldwide Gross($M);Votes;Rating
The Great Gatsby;May;10;2013;190;144.840419;351.040419;16173;6.4
Pacific Rim;Jul;12;2013;190;101.802906;411.002906;247610;7.1
47 Ronin;Dec;25;2013;175;38.362475;151.659062;64889;6.3
Frozen;Nov;22;2013;150;400.738009;1274.23498;41955;6.2
Thor: The Dark World;Nov;8;2013;150;206.36214;644.602516;222694;7.3
White House Down;Jun;28;2013;150;73.103784;205.440387;104183;6.4
G.I. Joe: Retaliation;Mar;27;2013;140;122.52306;375.740705;109590;5.9
Turbo;Jul;17;2013;135;83.02813;286.896578;38318;6.5
The Hunger Games: Catching Fire;Nov;22;2013;130;424.668047;864.868047;293243;7.8
After Earth;May;31;2013;130;60.522097;251.499665;116674;5
R.I.P.D.;Jul;19;2013;130;33.618855;79.072464;59086;5.6
Elysium;Aug;9;2013;120;93.050117;286.192091;205895;6.7
Oblivion;Apr;19;2013;120;89.107235;287.916633;670;5.2
The Wolverine;Jul;26;2013;115;132.556852;416.456852;203314;6.8
Gravity;Oct;4;2013;110;274.092705;716.392705;376923;8.1
The Smurfs 2;Jul;31;2013;110;71.017784;348.547523;18098;5.4
Ender's Game;Nov;1;2013;110;61.737191;89.737191;111838;6.8
The Wolf of Wall Street;Dec;25;2013;100;116.900694;391.976723;353716;8.4
Epic;May;24;2013;100;107.518682;262.794441;59548;6.7
A Good Day to Die Hard;Feb;14;2013;92;67.349198;304.249198;127689;5.3
The Secret Life of Walter Mitty;Dec;25;2013;91;58.236838;188.536838;3443;7.2
Percy Jackson: Sea of Monsters;Aug;7;2013;90;68.559554;200.859554;55749;6
RED 2;Jul;19;2013;84;53.26256;137.16256;79722;6.7
Grown Ups 2;Jul;12;2013;80;133.668525;247.023808;68895;5.4
Cloudy with a Chance of Meatballs 2;Sep;27;2013;78;119.793567;274.392649;33247;6.5
Despicable Me 2;Jul;3;2013;76;368.065385;974.873764;177379;7.6
Now You See Me;May;31;2013;75;117.723989;351.723989;294077;7.3
Olympus Has Fallen;Mar;22;2013;70;98.927592;150.562164;140924;6.5
Escape Plan;Oct;18;2013;70;25.135965;103.735965;105557;6.8
2 Guns;Aug;2;2013;61;75.61246;132.493015;100987;6.8
Gangster Squad;Jan;11;2013;60;46.000903;104.100903;136722;6.8
The Mortal Instruments: City of Bones;Aug;21;2013;60;31.165421;75.965567;69018;6
The Internship;Jun;7;2013;58;44.672764;93.672764;103216;6.4
Captain Phillips;Oct;11;2013;55;107.136417;220.648184;203545;8
Free Birds;Nov;1;2013;55;55.75048;110.387072;10674;5.9
Bullet to the Head;Feb;1;2013;55;9.489829;22.597969;30318;5.8
Anchorman 2: The Legend Continues;Dec;18;2013;50;127.352707;172.185754;68120;6.6
Hansel & Gretel: Witch Hunters;Jan;25;2013;50;55.703475;214.949716;117625;6.1
The Host;Mar;29;2013;50;26.623701;64.477051;65152;5.9
Beautiful Creatures;Feb;14;2013;50;19.452138;60.282876;2751;5.9
Upside Down;Mar;15;2013;50;0.102118;26.387039;42725;6.4
Prisoners;Sep;20;2013;46;61.002302;113.402302;204088;8.1
The Heat;Jun;28;2013;43;159.581587;229.727774;90475;6.7
American Hustle;Dec;13;2013;40;150.117807;257.878294;206631;7.4
